temp,hum,percp,wspeed,pm10
11.6,76.0,0.1,12.7,10.0
11.5,76.0,0.0,12.0,8.0
11.0,79.0,0.0,10.7,7.0
10.2,84.0,0.0,10.0,8.0
9.4,90.0,0.0,9.5,8.0
8.2,92.0,0.0,8.2,9.0
7.3,95.0,0.0,7.6,10.0
7.0,97.0,0.0,7.1,11.0
6.5,98.0,0.0,4.6,10.0
6.4,98.0,0.0,6.0,18.0
6.0,99.0,0.0,5.8,22.0
6.4,99.0,0.0,5.4,21.0
6.3,99.0,0.0,4.0,22.0
6.1,99.0,0.0,3.3,22.0
6.1,99.0,0.0,6.3,17.0
5.9,98.0,0.4,2.2,12.0
5.4,97.0,0.2,1.8,14.0
6.5,95.0,0.1,1.9,19.0
8.6,87.0,0.0,4.5,19.0
9.6,70.0,0.1,8.0,23.0
9.8,66.0,0.1,11.5,24.0
10.2,63.0,0.1,11.5,12.0
10.5,58.0,0.1,11.9,8.0
10.4,54.0,0.1,12.2,7.0
10.4,49.0,0.0,13.0,6.0
10.1,47.0,0.0,13.7,7.0
9.6,48.0,0.0,13.3,8.0
8.2,53.0,0.0,13.4,6.0
6.1,68.0,0.0,13.1,7.0
6.7,61.0,0.0,13.8,10.0
6.0,59.0,0.0,14.1,10.0
5.2,58.0,0.0,14.1,12.0
4.4,57.0,0.0,14.2,8.0
3.6,57.0,0.0,15.2,6.0
2.9,58.0,0.0,14.8,5.0
2.0,59.0,0.0,13.3,6.0
1.3,63.0,0.0,11.9,5.0
0.9,66.0,0.0,10.8,5.0
0.1,70.0,0.0,9.4,4.0
-0.3,72.0,0.0,8.6,4.0
-0.4,73.0,0.0,7.6,5.0
1.2,67.0,0.0,9.7,7.0
2.3,62.0,0.0,10.7,5.0
3.7,59.0,0.0,10.5,4.0
5.2,55.0,0.0,9.2,5.0
6.5,52.0,0.0,8.5,6.0
7.6,50.0,0.0,7.7,7.0
8.3,49.0,0.0,6.9,6.0
8.6,48.0,0.0,5.7,6.0
8.8,48.0,0.0,4.8,7.0
8.5,49.0,0.0,5.2,7.0
7.3,58.0,0.0,4.7,6.0
5.6,67.0,0.0,4.9,10.0
5.8,60.0,0.0,6.0,11.0
5.6,60.0,0.0,4.8,26.0
4.8,63.0,0.0,4.9,35.0
4.2,66.0,0.0,4.4,31.0
3.1,72.0,0.0,3.6,32.0
2.4,77.0,0.0,3.5,31.0
1.3,82.0,0.0,3.9,31.0
0.7,85.0,0.0,5.5,25.0
0.6,86.0,0.0,5.0,26.0
0.3,87.0,0.0,4.9,25.0
-0.2,88.0,0.0,5.4,24.0
0.3,87.0,0.0,6.5,25.0
2.3,87.0,0.0,6.6,27.0
5.6,73.0,0.0,5.8,42.0
8.4,62.0,0.0,8.3,48.0
10.7,57.0,0.0,11.1,45.0
12.0,55.0,0.0,15.9,29.0
12.5,55.0,0.0,18.5,25.0
12.9,55.0,0.0,19.8,8.0
12.8,57.0,0.0,20.0,8.0
12.3,60.0,0.0,18.2,8.0
11.4,65.0,0.0,15.9,7.0
9.7,73.0,0.0,13.8,7.0
8.5,79.0,0.0,12.2,7.0
7.6,71.0,0.0,11.5,7.0
6.9,76.0,0.0,11.6,8.0
6.4,79.0,0.0,12.3,8.0
6.9,79.0,0.0,13.9,8.0
7.4,78.0,0.0,15.9,7.0
7.7,82.0,0.0,16.5,5.0
8.2,87.0,0.0,16.3,6.0
8.3,90.0,0.0,15.1,7.0
8.4,92.0,0.0,14.6,6.0
8.6,93.0,0.0,16.5,7.0
8.9,92.0,0.0,16.5,7.0
9.1,90.0,0.0,14.8,8.0
9.8,87.0,0.0,11.7,8.0
11.0,78.0,0.0,17.6,6.0
11.9,73.0,0.0,20.7,5.0
12.2,72.0,0.1,15.3,6.0
12.3,72.0,0.1,15.1,6.0
12.1,74.0,0.4,17.6,5.0
12.1,72.0,0.1,16.6,9.0
12.0,72.0,0.2,13.8,12.0
11.6,73.0,0.0,12.5,10.0
10.9,78.0,0.0,11.7,12.0
10.2,82.0,0.0,8.4,15.0
9.5,87.0,0.0,4.4,16.0
8.7,91.0,0.3,3.9,10.0
7.8,95.0,0.9,4.3,15.0
7.6,97.0,0.6,5.8,24.0
7.5,97.0,1.2,4.0,19.0
7.1,96.0,1.0,6.5,16.0
6.5,91.0,0.3,5.6,16.0
6.0,88.0,0.0,4.8,17.0
5.3,91.0,0.0,6.8,19.0
4.9,92.0,0.0,9.2,16.0
5.0,91.0,0.0,8.2,13.0
4.9,91.0,0.0,5.9,6.0
4.6,92.0,0.1,4.2,2.0
5.5,94.0,0.3,4.8,3.0
7.3,81.0,0.3,7.8,5.0
7.1,77.0,0.2,6.6,4.0
8.0,68.0,0.3,4.1,5.0
9.1,54.0,0.1,5.6,7.0
9.5,48.0,0.1,7.1,6.0
9.6,44.0,0.1,8.9,4.0
9.6,39.0,0.0,10.5,4.0
9.4,34.0,0.0,10.0,2.0
9.0,31.0,0.0,9.5,3.0
7.8,34.0,0.0,6.6,2.0
5.8,50.0,0.0,6.6,3.0
5.2,54.0,0.0,7.6,4.0
5.7,44.0,0.0,7.6,5.0
5.4,43.0,0.0,7.4,10.0
4.9,44.0,0.0,5.1,17.0
4.1,47.0,0.0,4.5,15.0
3.3,51.0,0.0,4.9,14.0
2.6,55.0,0.0,4.7,15.0
2.0,58.0,0.0,2.6,17.0
1.8,60.0,0.0,1.6,15.0
1.6,62.0,0.0,1.3,15.0
1.4,63.0,0.0,2.2,15.0
1.5,65.0,0.0,1.3,19.0
2.5,72.0,0.0,3.7,23.0
5.4,54.0,0.0,10.1,30.0
6.4,50.0,0.0,9.9,24.0
7.3,45.0,0.0,8.8,9.0
7.9,41.0,0.0,9.2,8.0
8.6,39.0,0.0,7.9,6.0
9.1,38.0,0.0,6.3,5.0
9.6,36.0,0.0,6.4,5.0
9.6,35.0,0.0,7.2,5.0
8.7,37.0,0.0,8.8,5.0
7.1,42.0,0.0,8.4,6.0
5.2,53.0,0.0,7.3,6.0
4.2,57.0,0.0,7.0,7.0
5.5,41.0,0.0,4.3,14.0
5.0,42.0,0.0,4.1,21.0
4.6,43.0,0.0,3.3,27.0
4.2,45.0,0.0,2.6,24.0
3.9,46.0,0.0,3.2,27.0
2.5,47.0,0.0,3.3,28.0
2.1,48.0,0.0,2.2,29.0
1.8,50.0,0.0,1.6,22.0
1.5,52.0,0.0,2.1,22.0
1.2,54.0,0.0,2.4,23.0
1.0,56.0,0.0,2.2,21.0
1.8,71.0,0.0,2.4,24.0
4.3,50.0,0.0,4.1,31.0
5.9,42.0,0.0,5.6,30.0
7.4,38.0,0.0,5.9,26.608918503331623
8.5,37.0,0.0,6.0,26.608918503331623
9.4,36.0,0.0,5.2,18.0
10.1,37.0,0.0,5.4,15.0
10.3,38.0,0.0,5.6,15.0
10.1,40.0,0.0,4.3,18.0
8.9,50.0,0.0,3.6,18.0
7.3,54.0,0.0,4.3,13.0
5.3,68.0,0.0,5.1,10.0
4.6,71.0,0.0,5.8,13.0
3.2,76.0,0.0,4.0,29.0
2.0,81.0,0.0,4.2,25.0
1.2,84.0,0.0,5.4,37.0
0.7,86.0,0.0,5.9,50.0
0.4,87.0,0.0,6.5,39.0
-0.4,89.0,0.0,6.5,39.0
-0.5,89.0,0.0,6.7,37.0
-0.5,89.0,0.0,6.5,33.0
-0.5,88.0,0.0,6.2,30.0
-0.7,88.0,0.0,6.0,31.0
-0.4,88.0,0.0,6.3,28.0
2.7,81.0,0.0,5.0,29.0
6.0,68.0,0.0,4.5,28.0
8.3,55.0,0.0,6.6,37.0
10.0,51.0,0.0,8.7,33.0
11.2,49.0,0.0,9.7,28.0
12.0,48.0,0.0,10.9,24.0
12.3,47.0,0.0,10.6,14.0
12.3,47.0,0.0,9.9,12.0
11.9,49.0,0.0,8.8,11.0
10.9,54.0,0.0,6.0,10.0
8.9,61.0,0.0,6.3,11.0
6.9,68.0,0.0,6.9,11.0
5.3,73.0,0.0,6.6,13.0
3.7,78.0,0.0,6.4,17.0
2.6,80.0,0.0,6.8,14.0
1.8,82.0,0.0,6.1,17.0
1.2,83.0,0.0,6.6,19.0
0.7,84.0,0.0,6.8,29.0
0.7,84.0,0.0,6.6,31.0
0.5,84.0,0.0,7.6,35.0
0.3,83.0,0.0,7.6,35.0
-0.1,84.0,0.0,7.4,27.0
-0.1,82.0,0.0,7.7,24.0
0.4,83.0,0.0,8.4,24.0
3.1,80.0,0.0,9.4,25.0
6.9,61.0,0.0,8.8,25.0
9.9,51.0,0.0,12.1,26.0
11.8,49.0,0.0,15.2,26.0
12.9,49.0,0.0,17.7,16.0
13.4,49.0,0.0,18.8,12.0
13.4,51.0,0.0,19.4,10.0
13.2,53.0,0.0,18.6,11.0
12.6,55.0,0.0,17.2,9.0
11.6,61.0,0.0,16.0,7.0
10.2,69.0,0.0,13.9,9.0
8.9,77.0,0.0,13.3,10.0
8.2,78.0,0.0,12.7,11.0
7.6,82.0,0.0,11.7,13.0
6.9,87.0,0.0,10.9,15.0
6.1,91.0,0.0,9.4,15.0
5.4,94.0,0.0,9.3,12.0
4.9,95.0,0.0,9.8,13.0
4.9,97.0,0.0,8.7,12.0
4.8,97.0,0.0,7.8,11.0
4.8,98.0,0.1,7.0,12.0
5.0,97.0,0.2,6.2,15.0
5.0,97.0,0.2,5.9,15.0
5.5,97.0,0.2,5.4,19.0
7.4,93.0,0.2,5.1,29.0
9.0,85.0,0.1,5.1,33.0
10.2,78.0,0.1,5.1,31.0
11.1,73.0,0.2,2.9,27.0
11.9,70.0,0.2,3.6,24.0
12.6,65.0,0.1,2.7,22.0
13.1,62.0,0.0,3.3,22.0
13.5,59.0,0.0,4.4,25.0
13.5,59.0,0.0,3.1,44.0
